Paper Title,Author(s),Abstract,Conference/Journal,Conference/Journal Score (from http://portal.core.edu.au/conf-ranks/ and http://portal.core.edu.au/jnl-ranks/ and/or https://www.scimagojr.com/),Year,BibTeX Reference
Cyber Security in the Quantum Era,Petros Wallden Elham Kashefi,CYBER SECURITY DEALS with the protection of computer systems from attacks that could compromise the hardware software or information. These attacks by allowing unauthorized use could leak private information and cause damage or disruption. In the future the part of everyday life and economy requiring computer systems is bound to increase further and become fully dominant. Cyber warfare and cyber crime will be common and the role of cyber security crucial. SINCE THE COMPUTER systems (and attackers) evolve both in hardware and software the constant evolution of this field is of high importance. Arguably the most dramatic development that one can envision is a change in the paradigm of computational model used. Quantum technologies appear to bring us close to such a change. Here we explore the research field that lies on the intersection of cyber security and quantum technologies research.,Communications of the acm,SJR - 1.204 (2019),2019,"@misc{wallden_kashefi_2019, title={Cyber security in the Quantum Era}, url={https://dl.acm.org/doi/10.1145/3241037}, journal={Communications of the ACM}, publisher={ACM}, author={Wallden, Petros and Kashefi, Elham}, year={2019}, month={Apr}}"
Status Report on the First Round of the NIST Post-Quantum Cryptography Standardization Process,Gorjan Alagic Jacob Alperin-Sheriff Daniel Apon David Cooper Quynh Dang Yi-Kai Liu Carl Miller Dustin Moody Rene Peralta Ray Perlner Angela Robinson Daniel Smith-Tone,The National Institute of Standards and Technology is in the process of selecting one or more public-key cryptographic algorithms through a public competition-like process. The new publickey cryptography standards will specify one or more additional digital signature public-key encryption and key-establishment algorithms to augment FIPS 186-4 Digital Signature Standard (DSS) as well as special publications SP 800-56A Revision 2 Recommendation for Pair-Wise Key Establishment Schemes Using Discrete Logarithm Cryptography and SP 800-56B Recommendation for Pair-Wise Key-Establishment Schemes Using Integer Factorization. It is intended that these algorithms will be capable of protecting sensitive information well into the foreseeable future including after the advent of quantum computers. In November 2017 82 candidate algorithms were submitted to NIST for consideration. Among these 69 met both the minimum acceptance criteria and our submission requirements and were accepted as First-Round Candidates on Dec. 20 2017 marking the beginning of the First Round of the NIST Post-Quantum Cryptography Standardization Process. This report describes the evaluation criteria and selection process based on public feedback and internal review of the first-round candidates and summarizes the 26 candidate algorithms announced on January 30 2019 for moving forward to the second round of the competition. The 17 Second-Round Candidate public-key encryption and key-establishment algorithms are BIKE Classic McEliece CRYSTALS-KYBER FrodoKEM HQC LAC LEDAcrypt (merger of LEDAkem/LEDApkc) NewHope NTRU (merger of NTRUEncrypt/NTRU-HRSS-KEM) NTRU Prime NTS-KEM ROLLO (merger of LAKE/LOCKER/Ouroboros-R) Round5 (merger of Hila5/Round2) RQC SABER SIKE and Three Bears. The 9 Second-Round Candidates for digital signatures are CRYSTALS-DILITHIUM FALCON GeMSS LUOV MQDSS Picnic qTESLA Rainbow and SPHINCS+.,NIST,SJR - 0.287 (2019),2019,"@misc{alagic_alperin-sheriff_apon_cooper_dang_liu_miller_moody_peralta_perlner_et al._2019, title={Status report on the first round of the ... - TSAPPS at NIST}, url={https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=927303}, journal={Nist.org}, publisher={NIST}, author={Alagic, Gorjan and Alperin-Sheriff, Jacob and Apon, Daniel and Cooper, David and Dang, Quynh and Liu, Yi-Kai and Miller, Carl and Moody, Dustin and Peralta, Rene and Perlner, Ray and et al.}, year={2019}, month={Jan}}"
Implementation of real estate contract system using zero knowledge proof algorithm based blockchain,SoonHyeong Jeong & Byeongtae Ahn,A real estate contract is a high-risk contract with a large amount of money and there are many problems in the risk and reliability of fraud. In particular online contracts have low reliability and high risk. If you can manage information on these issues and prevent forgery and duplication of contract information you can maintain low cost and high efficiency. Blockchain technology is being used as an alternative to the enormous cost and reliability issues associated with offline real estate contracts. When blockchain technology is applied to an online contract management system reliability and scalability are efficient and confidentiality can be ensured. However as real estate transactions using blockchain technology increase online problems arise in scalability. Therefore in this paper we implemented an Ethereum-based online real estate contract system that solved the scalability using the zero-knowledge proof algorithm. The real estate contract system enables online contract management and discrimination of contract forgery through blockchain. In particular it was possible to prevent fraud until the contract was concluded and the contract was terminated.,The journal of supercomputing,B,2021,"@article{jeong_ahn_2021, title={Implementation of real estate contract system using zero knowledge proof algorithm based blockchain}, volume={77}, DOI={10.1007/s11227-021-03728-1}, number={10}, journal={The Journal of Supercomputing}, author={Jeong, SoonHyeong and Ahn, Byeongtae}, year={2021}, pages={11881–11893}}"
Secure Authentication using Zero Knowledge Proof,Adwait Pathak Tejas Patil Shubham Pawar Piyush Raut Smita Khairnar,Zero-Knowledge Proof is a cryptographic protocolexercised to render privacy and data security by securingthe identity of users and using services anonymously. It findsnumerous applications; authentication is one of them. A ZeroKnowledge Proof-based authentication system is discussed in thispaper. Advanced Encryption Standard (AES) and Secure RemotePassword (SRP) protocol have been used to design and buildthe ZKP based authentication system. SRP is a broadly usedPassword Authenticated Key Exchange (PAKE) protocol. Theproposed method overcomes several drawbacks of traditional andcommonly used authentication systems such as a simple usernameand plaintext password-based system multi-factor authenticationsystem and others,2021 Asian Conference on Innovation in Technology (ASIANCON),,2021,"@INPROCEEDINGS{9544807,author={Pathak, Adwait and Patil, Tejas and Pawar, Shubham and Raut, Piyush and Khairnar, Smita},booktitle={2021 Asian Conference on Innovation in Technology (ASIANCON)}, title={Secure Authentication using Zero Knowledge Proof}, year={2021},volume={},number={},pages={1-8},doi={10.1109/ASIANCON51346.2021.9544807}}"
Zero-knowledge proof systems for QMA,"Anne Broadbent, Zhengfeng Ji, Fang Song, John Watrous",Prior work has established that all problems in NP admit classical zero-knowledge proof systems and under reasonable hardness assumptions for quantum computations these proof systems can be made secure against quantum attacks. We prove a result representing a further quantum generalization of this fact which is that every problem in the complexity class QMA has a quantum zero-knowledge proof system. More specifically assuming the existence of an unconditionally binding and quantum computationally concealing commitment scheme we prove that every problem in the complexity class QMA has a quantum interactive proof system that is zero-knowledge with respect to efficient quantum computations. Our QMA proof system is sound against arbitrary quantum provers but only requires an honest prover to perform polynomial-time quantum computations provided that it holds a quantum witness for a given instance of the QMA problem under consideration. The proof system relies on a new variant of the QMA-complete local Hamiltonian problem in which the local terms are described by Clifford operations and standard basis measurements. We believe that the QMA-completeness of this problem may have other uses in quantum complexity.,IEEE (FOCS),A*,2016,"@inproceedings{broadbent2016zero,
title={Zero-knowledge proof systems for QMA},
author={Broadbent, Anne and Ji, Zhengfeng and Song, Fang and Watrous, John},
booktitle={2016 IEEE 57th Annual Symposium on Foundations of Computer Science (FOCS)},
pages={31--40},
year={2016},
organization={IEEE}
}"
QMA-hardness of Consistency of Local Density Matrices with Applications to Quantum Zero-Knowledge,"Anne Broadbent, Alex B. Grilo",We provide several advances to the understanding of the class of Quantum Merlin-Arthur proof systems (QMA) the quantum analogue of NP. Our central contribution is proving a longstanding conjecture that the Consistency of Local Density Matrices (CLDM) problem is QMA-hard under Karp reductions. The input of CLDM consists of local reduced density matrices on sets of at most k qubits and the problem asks if there is an n-qubit global quantum state that is locally consistent with all of the k-qubit local density matrices. The containment of this problem in QMA and the QMA-hardness under Turing reductions were proved by Liu [APPROX-RANDOM 2006]. Liu also conjectured that CLDM is QMA-hard under Karp reductions which is desirable for applications and we finally prove this conjecture. We establish this result using the techniques of simulatable codes of Grilo Slofstra and Yuen [FOCS 2019] simplifying their proofs and tailoring them to the context of OMA. In order to develop applications of CLDM we propose a framework that we call locally simulatable proofs for QMA: this provides QMA proofs that can be efficiently verified by probing only k qubits and furthermore the reduced density matrix of any k-qubit subsystem of a good witness can be computed in polynomial time independently of the witness. Within this framework we show several advances in zero-knowledge in the quantum setting. We show for the first time a commit-and-open computational zero-knowledge proof system for all of QMA as a quantum analogue of a â€œsigmaâ€ protocol. We then define a Proof of Quantum Knowledge which guarantees that a prover is effectively in possession of a quantum witness in an interactive proof and show that our zero-knowledge proof system satisfies this definition. Finally we show that our proof system can be used to establish that QMA has a quantum non-interactive zero-knowledge proof system in the secret parameter setting.,IEEE (FOCS),A*,2020,"@inproceedings{broadbent2020qma,
title={QMA-hardness of consistency of local density matrices with applications to quantum zero-knowledge},
author={Broadbent, Anne and Grilo, Alex B},
booktitle={2020 IEEE 61st Annual Symposium on Foundations of Computer Science (FOCS)},
pages={196--205},
year={2020},
organization={IEEE}
}"
Post-Quantum Cryptography: A Zero-Knowledge Authentication Protocol,Pedro Hecht,In this paper we present a simple bare-bones solution of a Zero-Knowledge authentication protocol which uses non-commutative algebra and a variation of the generalized symmetric decomposition problem (GSDP) as a one-way function. The cryptographic security is assured as long the GSDP problem is computationally hard to solve in non-commutative algebraic structures and belongs currently to the PQC category as no quantum computer attack is likely to exists.,CoRR,B,2017,"@article{DBLP:journals/corr/Hecht17b,
author = {Pedro Hecht},
title = {Post-Quantum Cryptography: {A} Zero-Knowledge Authentication Protocol},
journal = {CoRR},
volume = {abs/1703.08630},
year = {2017},
url = {http://arxiv.org/abs/1703.08630},
eprinttype = {arXiv},
eprint = {1703.08630},
timestamp = {Mon, 13 Aug 2018 16:47:27 +0200},
biburl = {https://dblp.org/rec/journals/corr/Hecht17b.bib},
bibsource = {dblp computer science bibliography, https://dblp.org}
}"
Image based authentication using zero-knowledge protocol,Zarina Mohamad; Lim Yan Thong; Aznida Hayati Zakaria; Wan Suryani Wan Awang,One of the most critical concerns in information security today is user authentication. There is a great security when using the text-based strong password schemes but often remembering those good passwords is very hard and users writing them down on a piece of paper or saving inside the smart phone. There is an alternative solution to the text-based authentication which is the Graphical User Authentication (GUA) or simply image-based Password based on the fact that humans tend to memorize images better. This type of approach allows users to create and remember passwords easily. However one big issues that is plaguing GUA is shoulder surfing attack that can capture the users mouse clicks and eavesdropping. In this paper a new algorithm that using zero-knowledge protocol as the solution to solving the eavesdropping and shoulder surfing attack to provide better system security. In zero-knowledge protocol users prove that they know the graphical password without sending it. In other words the user does not send the password to the verifier or reveal it to the people nearby. Hackers who try to eavesdrop the password will be failed since the password is not sent over the insecure channel such as Internet nor reveal. Therefore it is a secured approach to prevent interception by unwanted parties or adversary. The result that is going to be yielded in this project is a secured authentication approach which is user-friendly.without revealing anything other than the veracity of the statement tobe proven. After a formal definition of zero-knowledge proof schemesand a simple example zero-knowledge proofs for Graph Isomorphismand Graph 3-colorability are presented the latter being the basis forthe proof that all languages in NP have zero-knowledge proofs. Thepaper concludes with an application of zero-knowledge proofs in cryptography the Fiat-Shamir Indentification Protocol which is the basisfor modern zero-knowledge entity authentication schemes.,2018 4th International Conference on Computer and Technology Applications (ICCTA),,2018,"@INPROCEEDINGS{8398683,
author={Mohamad, Zarina and Thong, Lim Yan and Zakaria, Aznida Hayati and Awang, Wan Suryani Wan},
booktitle={2018 4th International Conference on Computer and Technology Applications (ICCTA)}, title={Image based authentication using zero-knowledge protocol}, year={2018},
volume={},
number={},
pages={202-210},
doi={10.1109/CATA.2018.8398683}}"
Non-Interactive Zero-Knowledge Proof of Knowledge and Chosen Ciphertext Attack,"Charles Rackoff, Daniel R Simon",The zero-knowledge proof of knowledge first defined by Fiat Fiege and Shamir was used by Galil Haber and Yung as a means of constructing (out of a trapdoor function) an interactive public-key cryptosystem provably secure against chosen ciphertext attack. We introduce a revised setting which permits the definition of a non-interactive analogue the non-interactive zero-knowledge proof of knowledge and show how it may be constructed in that setting from a non-interactive zero-knowledge proof system for N P (of the type introduced by Blum Feldman and Micali). We give a formalization of chosen ciphertext attack in our model which is stronger than the â€œlunchtime attackâ€ considered by Naor and Yung and prove a non-interactive public-key cryptosystem based on non-interactive zero-knowledge proof of knowledge to be secure against it,LNCS,A,2001,"@InProceedings{10.1007/3-540-46766-1_35,
author=""Rackoff, Charles
and Simon, Daniel R."",
editor=""Feigenbaum, Joan"",
title=""Non-Interactive Zero-Knowledge Proof of Knowledge and Chosen Ciphertext Attack"",
booktitle=""Advances in Cryptology --- CRYPTO '91"",
year=""1992"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""433--444"",
abstract=""The zero-knowledge proof of knowledge, first defined by Fiat, Fiege and Shamir, was used by Galil, Haber and Yung as a means of constructing (out of a trapdoor function) an interactive public-key cryptosystem provably secure against chosen ciphertext attack. We introduce a revised setting which permits the definition of a non-interactive analogue, the non-interactive zero-knowledge proof of knowledge, and show how it may be constructed in that setting from a non-interactive zero-knowledge proof system for N P (of the type introduced by Blum, Feldman and Micali). We give a formalization of chosen ciphertext attack in our model which is stronger than the ``lunchtime attack'' considered by Naor and Yung, and prove a non-interactive public-key cryptosystem based on non-interactive zero-knowledge proof of knowledge to be secure against it."",
isbn=""978-3-540-46766-3""
}"
"MULTIPLE NONINTERACTIVE ZERO KNOWLEDGE PROOFS
UNDER GENERAL ASSUMPTIONS","Uriel Feide, Dror Lapidot, Adi Shamir",In this paper we show how to construct noninteractive zero knowledge proofs forany NP statement under general (rather than number theoretic) assumptions and how to enablepolynomially many provers to give polynomially many such proofs based on a single random string.Our constructions can be used in cryptographic applications in which the prover is restricted topolynomial time.,Society for Industrial and Applied Mathematics,B,1999,"@article{Feige1999MultipleNZ,
title={Multiple NonInteractive Zero Knowledge Proofs Under General Assumptions},
author={Uriel Feige and Dror Lapidot and Adi Shamir},
journal={SIAM J. Comput.},
year={1999},
volume={29},
pages={1-28}
}"
